Yhtio;Potentiaali;Riskitaso;Tavoitehinta;Kurssi;LV:n kasvu%;LV:n kasvu%2;EBIT%;EBIT%2;ROE%;ROE%2;ROI%;ROI%2;Omavaraisuusaste;Nettovelkaisuus;EV/EBITDA;EV/EBITDA2;P/E;P/E2;Osinkotuotto-%;Osinkotuotto-%2;P/B;P/B2;EV/Liikevaihto;EV/Liikevaihto2;EV/EBIT;EV/EBIT2;MCAP;EV
Talenom;-20;2;12;15,05;18,95;15,71;20,17;21,99;35,66;37,32;21,65;25,16;40,71;84,02;25,5;20,44;55,64;44,2;1,06;1,33;18,28;15,03;9;7,74;44,61;35,18;661,84;696,88
Martela;-19;3;2,5;3,09;4,12;4;1,71;2,01;4,9;6,72;6,27;7,7;29,2;46,76;3,13;2,71;20,39;14,26;3,24;3,88;0,97;0,94;0,2;0,18;11,72;8,79;12,86;18,98
SRV;-2;3;0,58;0,59;-2,69;1,53;2,73;3,68;3,68;6,94;4,63;6,83;32,15;100,46;11,26;8,22;18,08;9,08;0;3,37;0,65;0,61;0,41;0,37;15;10,03;154,64;393,38
eQ;-14;1;15;16,75;23,83;4,46;57,63;57,93;45,4;45,01;57,11;56,61;78,15;-55,76;15,44;14,91;21,18;20,42;4,9;4,9;9,11;9,16;9,11;8,83;15,81;15,25;687,47;621,3
Finnair;-36;4;0,48;0,76;112,33;58,24;-9,13;5,59;-29,28;4,86;-5,46;5,93;16,35;202,43;11,87;4,17;-4,89;33,62;0;0;1,68;1,6;1,34;0,75;-14,69;13,4;1055,55;2355,43
Pihlajalinna;11;3;10,5;9,38;6,26;4;4,14;4,92;11,6;14,1;11,13;13,95;28,96;37,75;4,52;3,72;16,1;11,95;1,92;2,45;1,78;1,6;0,48;0,43;11,69;8,75;213,99;259,03
Avidly;-9;4;3,5;3,98;9,88;10,95;3,37;5,05;6,01;11,53;6,01;9,72;44,8;20,22;8,81;6,78;37,38;17,82;0;0;2,18;1,94;0,87;0,74;25,85;14,62;20,42;23
Piippo;-13;3;3;3,16;4,19;3;3,28;3,79;5;5,97;4,22;5,04;45,49;75,6;7,54;6,81;11,37;9,09;3,16;3,8;0,55;0,53;0,54;0,51;16,35;13,34;4,46;9,65
Investors House;9;3;6,3;5,7;-16,11;14,15;62,91;66,39;8,78;10,34;8,11;9,03;52,33;56,94;11,13;9,56;10,61;8,56;5,09;5,44;0,91;0,86;7,01;6,35;11,13;9,56;34,51;54,53
Marimekko;-1;2;47;45,55;9,35;8,77;14,03;14,13;26,42;26,15;25,54;25,97;58,07;-15,03;11,56;10,63;25,72;23,52;2,63;2,85;6,47;5,86;2,67;2,43;19,04;17,17;387,39;361,72
