Paiva;Kurssi;Vaihto
Apr 15, 2020;51.46;800,517
Apr 14, 2020;52.34;974,962
Apr 09, 2020;51.98;762,651
Apr 08, 2020;51.66;745,649
Apr 07, 2020;53.10;878,1
Apr 06, 2020;52.06;1,309,874
Apr 03, 2020;50.78;791,616
Apr 02, 2020;50.84;924,769
Apr 01, 2020;51.44;894,042
Mar 31, 2020;51.62;1,138,870
Mar 30, 2020;50.60;730,986
Mar 27, 2020;50.42;1,217,257
Mar 26, 2020;50.92;1,239,261
Mar 25, 2020;47.81;1,280,674
Mar 24, 2020;46.96;1,246,961
Mar 23, 2020;46.90;1,115,346
Mar 20, 2020;48.96;2,260,928
Mar 19, 2020;50.06;1,606,325
Mar 18, 2020;48.29;1,458,037
Mar 17, 2020;47.38;1,874,016
Mar 16, 2020;45.60;1,746,199
Mar 13, 2020;45.10;2,378,870
Mar 12, 2020;45.16;2,426,781
Mar 11, 2020;47.11;1,225,137
Mar 10, 2020;47.20;1,118,389
Mar 09, 2020;47.36;1,547,379
Mar 06, 2020;49.03;1,158,474
Mar 05, 2020;50.26;1,708,223
Mar 04, 2020;52.36;1,459,295
Mar 03, 2020;50.88;842,525
Mar 02, 2020;50.46;2,838,484
Feb 28, 2020;51.00;2,632,306
Feb 27, 2020;52.12;2,045,032
Feb 26, 2020;52.48;1,843,624
Feb 25, 2020;51.34;1,125,133
Feb 24, 2020;51.98;1,583,283
Feb 21, 2020;53.51;787,845
Feb 20, 2020;53.14;907,67
Feb 19, 2020;52.87;1,059,136
Feb 18, 2020;52.56;1,121,814
Feb 17, 2020;53.45;1,494,668
Feb 14, 2020;56.02;402,509
Feb 13, 2020;55.60;661,73
Feb 12, 2020;55.17;1,159,744
Feb 11, 2020;57.36;650,635
Feb 10, 2020;57.11;584,725
Feb 07, 2020;57.01;388,709
Feb 06, 2020;57.55;527,831
Feb 05, 2020;57.32;581,084
Feb 04, 2020;57.09;1,112,476
Feb 03, 2020;56.28;659,159
Jan 31, 2020;56.39;789,4
Jan 30, 2020;56.97;603,97
Jan 29, 2020;57.65;1,479,430
Jan 28, 2020;59.06;1,143,636
Jan 27, 2020;56.30;575,132
Jan 24, 2020;57.59;631,999
Jan 23, 2020;57.26;590,742
Jan 22, 2020;57.30;780,514
Jan 21, 2020;57.46;549,211
Jan 20, 2020;57.94;395,989
Jan 17, 2020;58.19;622,458
Jan 16, 2020;57.38;530,004
Jan 15, 2020;58.00;577,343
Jan 14, 2020;57.50;657,515
Jan 13, 2020;56.84;505,961
Jan 10, 2020;56.78;492,165
Jan 09, 2020;56.95;519,811
Jan 08, 2020;56.84;359,312
Jan 07, 2020;56.88;593,01
Jan 03, 2020;56.72;432,856
Jan 02, 2020;56.61;382,441
30.;56.41;273,414
